model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
bagging_lr,tfidf_bigram,0.5563380281690141,0.6650348185768888,0.5563380281690141,0.44255677606307703,0.5343773303504847,0.1535113150671338,0.10922408103942871,0.5378448918717376
bagging_sgd,tfidf_bigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.0917062759399414,0.5428225205070842
calibrated_rf,tfidf_bigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.8762280941009521,0.5301640566741238
calibrated_svm,tfidf_bigram,0.5563380281690141,0.6415201736736207,0.5563380281690141,0.44924287040456773,0.5348993288590604,0.1430638863287274,0.017428874969482422,0.5398086005468556
ovr_nb,tfidf_bigram,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.010154962539672852,0.5337745463584389
ovr_svm,tfidf_bigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.011452913284301758,0.5323514789957743
feature_selection_lr,tfidf_bigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.01577019691467285,0.5394668158090977
feature_selection_rf,tfidf_bigram,0.5545774647887324,0.6523209358874458,0.5545774647887324,0.4414863782331925,0.5326994780014914,0.14377813299686729,0.46949195861816406,0.5398210290827741
stress_focused_ensemble,tfidf_bigram,0.551056338028169,0.6230242618940661,0.551056338028169,0.4415814291561048,0.5295177728063635,0.12260437529558917,0.11012506484985352,0.533749689286602
XGBoost,tfidf_bigram,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.02709794044494629,0.512670892368879
LightGBM,tfidf_bigram,0.48063380281690143,0.5355086105401492,0.48063380281690143,0.3378605643878156,0.50381556052697,0.02236547349192252,0.031900882720947266,0.507394978871489
CatBoost,tfidf_bigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.17062783241271973,0.5419338801889136
LogisticRegression,tfidf_trigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.023834943771362305,0.5394668158090977
LogisticRegression_L1,tfidf_trigram,0.477112676056338,0.7510060362173038,0.477112676056338,0.3101881327885318,0.5016778523489933,0.039974424549814924,0.07558703422546387,0.512670892368879
RidgeClassifier,tfidf_trigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.012328147888183594,0.5332214765100671
SGDClassifier,tfidf_trigram,0.477112676056338,0.5123265297678021,0.477112676056338,0.32501387682996824,0.5008078548347005,0.005855033685512201,0.018138885498046875,0.5008078548347005
MultinomialNB,tfidf_trigram,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.010542154312133789,0.5337745463584389
ComplementNB,tfidf_trigram,0.551056338028169,0.6230242618940661,0.551056338028169,0.4415814291561048,0.5295177728063635,0.12260437529558917,0.010234832763671875,0.5338056176982351
BernoulliNB,tfidf_trigram,0.551056338028169,0.6633789847742069,0.551056338028169,0.4300236818642563,0.5286477752920706,0.13948933124689025,0.010504007339477539,0.5331531195625155
RandomForest,tfidf_trigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.1762559413909912,0.5367884663186676
ExtraTrees,tfidf_trigram,0.5475352112676056,0.6540731023556577,0.5475352112676056,0.4231068906078139,0.5249440715883669,0.1263936294207502,0.1501331329345703,0.5252423564504102
GradientBoosting,tfidf_trigram,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.09737801551818848,0.5311831966194381
LinearSVC,tfidf_trigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.012441873550415039,0.5332214765100671
KNN,tfidf_trigram,0.48063380281690143,0.5498301660273491,0.48063380281690143,0.3323692520513317,0.5041635595326871,0.027807799336201946,0.05177807807922363,0.5305804126273924
linear_stacking,tfidf_trigram,0.5545774647887324,0.6314333550547444,0.5545774647887324,0.44814461081921997,0.5332214765100671,0.1344592912558314,0.03058004379272461,0.5332214765100671
ada_boost_tree,tfidf_trigram,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.01801586151123047,0.5
ada_boost_simple,tfidf_trigram,0.5246478873239436,0.27525540567347745,0.5246478873239436,0.3610740656409589,0.5,0.0,0.06733012199401855,0.5
gradient_boost_custom,tfidf_trigram,0.5316901408450704,0.7525596843472181,0.5316901408450704,0.3766284771477102,0.5074074074074074,0.08847421003812489,0.1470930576324463,0.512670892368879
weighted_ensemble,tfidf_trigram,0.5580985915492958,0.678593054070054,0.5580985915492958,0.443626910124352,0.5360551826994779,0.16360415488665622,0.42229127883911133,0.5394108873974646
bagging_lr,tfidf_trigram,0.5563380281690141,0.6650348185768888,0.5563380281690141,0.44255677606307703,0.5343773303504847,0.1535113150671338,0.10990738868713379,0.5378448918717376
