model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status,roc_auc
CalibratedRF,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.5560319423675537,success,
CalibratedSVC,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.02098703384399414,success,
OvR_MultinomialNB,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.020660877227783203,success,
MLPClassifier,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.25763893127441406,success,
KNN,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.07681012153625488,success,
XGBoost,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.17672109603881836,success,
XGBoost_Tuned,mental_health_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.033548831939697266,success,
LightGBM,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.018205881118774414,success,
LightGBM_Tuned,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.020411968231201172,success,
CatBoost,mental_health_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.15064215660095215,success,
LogisticRegression,char_word_hybrid,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.009196043014526367,success,
LogisticRegression_L1,char_word_hybrid,0.5246478873239436,0.39262449330796173,0.5134525099313831,0.5246478873239436,0.5019139945314441,0.009907248140381212,0.035532236099243164,success,
LogisticRegression_L2,char_word_hybrid,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.011391878128051758,success,
RidgeClassifier,char_word_hybrid,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.008852958679199219,success,
SGDClassifier,char_word_hybrid,0.5105633802816901,0.4166000591814592,0.4775043091544534,0.5105633802816901,0.49092716877951775,-0.029927039498830722,0.010741949081420898,success,
MultinomialNB,char_word_hybrid,0.5017605633802817,0.4071261654665264,0.45536126753528394,0.5017605633802817,0.48218990802883416,-0.058304392547737824,0.006746053695678711,success,
ComplementNB,char_word_hybrid,0.477112676056338,0.3762205767678092,0.49248882192219073,0.477112676056338,0.49715386527467065,-0.00977313537535893,0.006136178970336914,success,
BernoulliNB,char_word_hybrid,0.5017605633802817,0.4091396930116097,0.4571087891204048,0.5017605633802817,0.4823639075316928,-0.056892298476696454,0.006494998931884766,success,
LinearSVC,char_word_hybrid,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.008342981338500977,success,
SVC_RBF,char_word_hybrid,0.5035211267605634,0.42351536987960176,0.46995425887197567,0.5035211267605634,0.485259756400696,-0.043736631970483476,0.3848540782928467,success,
RandomForest,char_word_hybrid,0.5088028169014085,0.4050894462904785,0.46594859550919604,0.5088028169014085,0.48837931891623165,-0.04133994299990987,0.19788599014282227,success,
ExtraTrees,char_word_hybrid,0.5246478873239436,0.39262449330796173,0.5134525099313831,0.5246478873239436,0.5019139945314441,0.009907248140381212,0.1616377830505371,success,
GradientBoosting,char_word_hybrid,0.5035211267605634,0.4082058154286745,0.45905541429782215,0.5035211267605634,0.48386776037782747,-0.05321273598559216,0.10732603073120117,success,
AdaBoost,char_word_hybrid,0.5264084507042254,0.37110482555346863,0.5610474570334976,0.5264084507042254,0.502199850857569,0.023521989312741312,0.11258983612060547,success,
BaggingLR,char_word_hybrid,0.5123239436619719,0.407184214510824,0.4751749563004687,0.5123239436619719,0.4917350236142182,-0.02996358933506846,0.07635188102722168,success,
BaggingSGD,char_word_hybrid,0.5158450704225352,0.4047899400691394,0.48246378814377444,0.5158450704225352,0.49474272930648766,-0.020290049799348373,0.04140806198120117,success,
VotingClassifier,char_word_hybrid,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.24344396591186523,success,
StackingClassifier,char_word_hybrid,0.5105633802816901,0.4145740458047841,0.47629330671529174,0.5105633802816901,0.49075316927665924,-0.030980179026106565,0.05874300003051758,success,
CalibratedRF,char_word_hybrid,0.522887323943662,0.4156754665470062,0.5079635955266483,0.522887323943662,0.5019761372110365,0.007461449884842722,0.4681820869445801,success,
CalibratedSVC,char_word_hybrid,0.5211267605633803,0.4146239034778978,0.5022126164342054,0.5211267605633803,0.5002982848620432,0.0011144465433697592,0.014885902404785156,success,
OvR_MultinomialNB,char_word_hybrid,0.5017605633802817,0.4071261654665264,0.45536126753528394,0.5017605633802817,0.48218990802883416,-0.058304392547737824,0.018038034439086914,success,
MLPClassifier,char_word_hybrid,0.5,0.41575524682234705,0.4598393574297188,0.5,0.48138205319413374,-0.05657025071739759,3.6861279010772705,success,
KNN,char_word_hybrid,0.5052816901408451,0.424662316229518,0.4731949048657519,0.5052816901408451,0.4869376087496893,-0.03898330610139987,0.0624690055847168,success,
XGBoost,char_word_hybrid,0.5211267605633803,0.3854713837766962,0.48867842089030544,0.5211267605633803,0.4982102908277405,-0.009698335337733349,0.27488112449645996,success,
XGBoost_Tuned,char_word_hybrid,0.5264084507042254,0.36499962597932584,0.7510929776187992,0.5264084507042254,0.5018518518518519,0.04411992042905499,0.09096503257751465,success,
LightGBM,char_word_hybrid,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.050276756286621094,success,
LightGBM_Tuned,char_word_hybrid,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.055029869079589844,success,
CatBoost,char_word_hybrid,0.5088028169014085,0.4155060076507451,0.47353638329594633,0.5088028169014085,0.4892493164305245,-0.035194207643958975,0.771014928817749,success,
