model,vectorizer,accuracy,f1_score,precision,recall,balanced_accuracy,mcc,training_time,status,error
voting_soft,count_bigram,0.551056338028169,0.4300236818642563,0.6633789847742069,0.551056338028169,0.5286477752920706,0.13948933124689025,0.15126919746398926,success,
linear_stacking,count_bigram,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.041819095611572266,success,
calibrated_rf,count_bigram,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.3496279716491699,success,
XGBoost,count_bigram,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.013859272003173828,success,
LightGBM,count_bigram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,failed,"Expected np.float32 or np.float64, met type(int64)"
LogisticRegression,hybrid_char_word,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.015833139419555664,success,
bagging_sgd,hybrid_char_word,0.5193661971830986,0.40911874050500013,0.4950532788995741,0.5193661971830986,0.49827243350733286,-0.006667415891511641,0.037851810455322266,success,
bagging_lr,hybrid_char_word,0.5,0.40604556733589,0.45177165354330706,0.5,0.4805120556798409,-0.06332548994188036,0.028467178344726562,success,
RidgeClassifier,hybrid_char_word,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.00467991828918457,success,
SGDClassifier,hybrid_char_word,0.5105633802816901,0.4166000591814592,0.4775043091544534,0.5105633802816901,0.49092716877951775,-0.029927039498830722,0.005451202392578125,success,
LinearSVC,hybrid_char_word,0.5052816901408451,0.41912493743354645,0.4698797695758368,0.5052816901408451,0.4864156102411136,-0.04206335208231568,0.004533052444458008,success,
RandomForest,hybrid_char_word,0.5158450704225352,0.4047899400691394,0.48246378814377444,0.5158450704225352,0.49474272930648766,-0.020290049799348373,0.15363097190856934,success,
GradientBoosting,hybrid_char_word,0.5052816901408451,0.40928453655900776,0.4628597105342945,0.5052816901408451,0.4855456127268208,-0.04804761316945178,0.08619308471679688,success,
stress_focused_ensemble,hybrid_char_word,0.5052816901408451,0.4113160865586358,0.4644488254156151,0.5052816901408451,0.48571961222967935,-0.0467493000958484,0.19128108024597168,success,
voting_soft,hybrid_char_word,0.5105633802816901,0.4185939004203429,0.4786375734723301,0.5105633802816901,0.4911011682823764,-0.02891648647856272,0.1752011775970459,success,
linear_stacking,hybrid_char_word,0.5105633802816901,0.4166000591814592,0.4775043091544534,0.5105633802816901,0.49092716877951775,-0.029927039498830722,0.057687997817993164,success,
calibrated_rf,hybrid_char_word,0.5211267605633803,0.4101514499792632,0.5010336641058473,0.5211267605633803,0.49995028585632617,-0.0001940675914622688,0.44827914237976074,success,
XGBoost,hybrid_char_word,0.5211267605633803,0.3854713837766962,0.48867842089030544,0.5211267605633803,0.4982102908277405,-0.009698335337733349,0.059081077575683594,success,
LightGBM,hybrid_char_word,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.014456748962402344,success,
LogisticRegression,weighted_tfidf,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.01593017578125,success,
bagging_sgd,weighted_tfidf,0.545774647887324,0.41961896027205237,0.6488593566058354,0.545774647887324,0.523092219736515,0.11953030548589799,0.04091215133666992,success,
bagging_lr,weighted_tfidf,0.545774647887324,0.42209517710265665,0.6381265534382767,0.545774647887324,0.5232662192393737,0.11551563112560406,0.04083418846130371,success,
RidgeClassifier,weighted_tfidf,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.005911111831665039,success,
SGDClassifier,weighted_tfidf,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.004843950271606445,success,
LinearSVC,weighted_tfidf,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.0037641525268554688,success,
RandomForest,weighted_tfidf,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.23605918884277344,success,
GradientBoosting,weighted_tfidf,0.545774647887324,0.42209517710265665,0.6381265534382767,0.545774647887324,0.5232662192393737,0.11551563112560406,0.06930994987487793,success,
stress_focused_ensemble,weighted_tfidf,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,0.1931006908416748,success,
voting_soft,weighted_tfidf,0.551056338028169,0.4300236818642563,0.6633789847742069,0.551056338028169,0.5286477752920706,0.13948933124689025,0.15094804763793945,success,
linear_stacking,weighted_tfidf,0.5475352112676056,0.4349473996822269,0.6137332918496536,0.5475352112676056,0.5258140691026597,0.11021548526413043,0.04252004623413086,success,
calibrated_rf,weighted_tfidf,0.5475352112676056,0.4231068906078139,0.6540731023556577,0.5475352112676056,0.5249440715883669,0.1263936294207502,2.272968292236328,success,
XGBoost,weighted_tfidf,0.5246478873239436,0.3610740656409589,0.27525540567347745,0.5246478873239436,0.5,0.0,0.013921976089477539,success,
LightGBM,weighted_tfidf,0.4753521126760563,0.30631281723755416,0.22595963102559014,0.4753521126760563,0.5,0.0,0.007319927215576172,success,
